               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 115,              0.0264,           0.0093393,           0.0061089,             0.96401,             0.88382,             0.96523,             0.69506,            0.024306,           0.0062072,           0.0043754,           0.0088714,           0.0088714,           0.0088714
                 116,            0.026846,           0.0094244,           0.0084425,             0.95266,             0.93496,              0.9686,             0.66145,             0.02724,           0.0059333,           0.0043021,           0.0088615,           0.0088615,           0.0088615
                 117,            0.027872,           0.0089982,           0.0063637,             0.96923,               0.924,             0.97238,             0.67169,            0.026495,           0.0059357,           0.0036524,           0.0088516,           0.0088516,           0.0088516
                 118,             0.02628,           0.0089798,           0.0057685,             0.92809,             0.93195,             0.96847,             0.66239,            0.026319,            0.005821,            0.004418,           0.0088417,           0.0088417,           0.0088417
                 119,             0.02738,            0.010083,           0.0058079,             0.90444,             0.87612,             0.94461,             0.63473,            0.025481,           0.0057085,           0.0040888,           0.0088318,           0.0088318,           0.0088318
                 120,            0.025991,           0.0091387,           0.0057054,             0.87555,             0.88527,             0.94192,             0.65815,            0.026222,            0.006156,           0.0046699,           0.0088219,           0.0088219,           0.0088219
                 121,            0.027485,           0.0092139,           0.0056567,             0.91353,             0.92321,             0.96605,             0.66767,            0.024876,           0.0061879,           0.0037693,            0.008812,            0.008812,            0.008812
                 122,            0.026354,           0.0094151,           0.0061171,             0.93236,             0.90873,             0.95962,             0.69874,            0.023829,            0.005806,           0.0035082,           0.0088021,           0.0088021,           0.0088021
                 123,            0.025578,           0.0083948,           0.0053945,             0.96653,              0.9359,             0.97448,             0.71338,            0.023874,           0.0059524,           0.0030614,           0.0087922,           0.0087922,           0.0087922
                 124,            0.024837,           0.0088234,           0.0046359,             0.96095,             0.97079,             0.98484,             0.73065,            0.022933,           0.0058026,           0.0021149,           0.0087823,           0.0087823,           0.0087823
                 125,            0.024784,           0.0094063,           0.0086045,             0.95452,             0.93939,             0.97926,             0.70955,            0.022675,           0.0057564,           0.0036223,           0.0087724,           0.0087724,           0.0087724
                 126,            0.025416,           0.0093101,           0.0057444,              0.9767,             0.90322,             0.97649,             0.68728,            0.023086,           0.0053387,           0.0044774,           0.0087625,           0.0087625,           0.0087625
                 127,            0.025411,           0.0094619,           0.0065318,             0.96196,             0.85249,             0.95089,             0.68858,             0.02431,           0.0054164,           0.0051238,           0.0087526,           0.0087526,           0.0087526
                 128,             0.02577,           0.0088258,           0.0048412,             0.88024,             0.93472,             0.95639,             0.69294,            0.024472,            0.005547,           0.0064264,           0.0087427,           0.0087427,           0.0087427
                 129,            0.026054,           0.0091065,           0.0062311,             0.95587,             0.91717,               0.954,             0.71207,            0.022364,           0.0055699,           0.0054864,           0.0087328,           0.0087328,           0.0087328
                 130,            0.024939,           0.0083909,           0.0047756,             0.96185,             0.90163,              0.9634,             0.65047,            0.025861,           0.0055523,           0.0029418,           0.0087229,           0.0087229,           0.0087229
                 131,            0.026378,           0.0086744,           0.0060111,             0.94649,             0.87947,             0.95738,             0.65081,            0.028448,           0.0058861,            0.006146,            0.008713,            0.008713,            0.008713
                 132,            0.025814,           0.0090292,           0.0058652,             0.94851,             0.90325,             0.97097,             0.69979,            0.025359,           0.0055437,           0.0052374,           0.0087031,           0.0087031,           0.0087031
                 133,            0.026665,           0.0092899,           0.0055004,             0.96574,             0.87831,             0.95325,             0.65667,            0.024114,           0.0055075,           0.0045489,           0.0086932,           0.0086932,           0.0086932
                 134,            0.024935,           0.0087738,           0.0053406,             0.92662,             0.90839,             0.95815,             0.68427,            0.024434,           0.0055811,           0.0047256,           0.0086833,           0.0086833,           0.0086833
                 135,            0.024944,           0.0088574,           0.0049393,             0.91523,              0.8714,             0.93852,             0.65774,            0.023711,           0.0057483,           0.0071085,           0.0086734,           0.0086734,           0.0086734
                 136,            0.024751,           0.0085697,            0.004944,              0.9185,             0.91607,             0.92869,             0.64099,            0.024594,           0.0059109,           0.0037717,           0.0086635,           0.0086635,           0.0086635
                 137,            0.026803,           0.0086516,           0.0050022,             0.92654,             0.78273,             0.84439,             0.51809,            0.039039,           0.0073142,           0.0049047,           0.0086536,           0.0086536,           0.0086536
                 138,            0.026141,           0.0089188,           0.0049189,             0.95702,             0.89512,             0.92698,             0.66732,            0.023226,           0.0060477,           0.0043713,           0.0086437,           0.0086437,           0.0086437
                 139,            0.025723,           0.0091145,           0.0050628,             0.94867,             0.90622,             0.94006,             0.64086,            0.023733,           0.0060577,           0.0046323,           0.0086338,           0.0086338,           0.0086338
                 140,            0.024939,           0.0083164,           0.0054669,             0.91041,             0.92777,             0.93473,             0.67472,            0.022461,           0.0053356,           0.0046432,           0.0086239,           0.0086239,           0.0086239
                 141,            0.027086,           0.0092533,           0.0062996,             0.95863,             0.89321,             0.96007,             0.64651,            0.027995,            0.005713,           0.0050637,            0.008614,            0.008614,            0.008614
                 142,            0.025874,           0.0088478,           0.0050752,             0.96344,             0.90053,             0.94684,              0.6828,            0.023256,            0.005348,           0.0044133,           0.0086041,           0.0086041,           0.0086041
                 143,            0.025625,           0.0090193,           0.0047454,             0.92585,             0.94901,             0.96075,             0.68626,            0.023605,           0.0051951,           0.0037354,           0.0085942,           0.0085942,           0.0085942
                 144,            0.024675,           0.0084573,           0.0044377,             0.92734,             0.94719,             0.95485,             0.69075,            0.024014,           0.0051119,           0.0054494,           0.0085843,           0.0085843,           0.0085843
                 145,            0.024564,           0.0089714,           0.0044507,             0.97175,             0.91645,              0.9716,             0.69099,            0.024444,           0.0052888,            0.004448,           0.0085744,           0.0085744,           0.0085744
                 146,            0.024745,            0.008578,           0.0042175,             0.93412,             0.93264,             0.97574,             0.68898,            0.026165,           0.0053241,           0.0041113,           0.0085645,           0.0085645,           0.0085645
                 147,             0.02525,           0.0085242,             0.00425,             0.88482,             0.94636,             0.96721,             0.68458,            0.024545,           0.0052731,            0.004498,           0.0085546,           0.0085546,           0.0085546
                 148,            0.026005,            0.009015,           0.0050299,              0.9687,             0.82062,             0.93136,             0.67195,            0.024236,           0.0055735,            0.005686,           0.0085447,           0.0085447,           0.0085447
                 149,            0.025255,           0.0085742,           0.0061449,             0.89419,              0.9149,             0.96035,             0.69103,            0.022814,           0.0054624,           0.0051209,           0.0085348,           0.0085348,           0.0085348
                 150,            0.025122,           0.0083977,           0.0047961,             0.96554,             0.90016,             0.96703,             0.64386,            0.026461,           0.0056968,           0.0043988,           0.0085249,           0.0085249,           0.0085249
                 151,            0.024982,           0.0085158,           0.0048303,             0.93227,             0.94877,             0.97088,             0.68615,            0.024243,           0.0053101,           0.0055118,            0.008515,            0.008515,            0.008515
                 152,            0.024667,           0.0079354,           0.0064695,             0.93064,             0.90043,             0.97453,             0.69251,            0.023797,           0.0057945,           0.0039019,           0.0085051,           0.0085051,           0.0085051
